k,Accuracy,Distance
1,0.9603073,Manhattan
3,0.9603073,Manhattan
5,0.9564661,Manhattan
7,0.9564661,Manhattan
9,0.9513444,Manhattan
11,0.9462228,Manhattan
13,0.9462228,Manhattan
15,0.9475032,Manhattan
17,0.9398207,Manhattan
19,0.9385403,Manhattan
21,0.9346991,Manhattan
1,0.9663866,Euclidean
3,0.9651861,Euclidean
5,0.9579832,Euclidean
7,0.9627851,Euclidean
9,0.9579832,Euclidean
11,0.9543818,Euclidean
13,0.9495798,Euclidean
15,0.9495798,Euclidean
17,0.9495798,Euclidean
19,0.9447779,Euclidean
21,0.939976,Euclidean
1,0.9679898,L3Minkowski
3,0.971831,L3Minkowski
5,0.9679898,L3Minkowski
7,0.9692702,L3Minkowski
9,0.9654289,L3Minkowski
11,0.9577465,L3Minkowski
13,0.9564661,L3Minkowski
15,0.9539052,L3Minkowski
17,0.9526248,L3Minkowski
19,0.9539052,L3Minkowski
21,0.9526248,L3Minkowski
