k,Accuracy,Distance
1,0.9610048,Manhattan
3,0.9606459,Manhattan
5,0.9576555,Manhattan
7,0.9568182,Manhattan
9,0.9538278,Manhattan
11,0.95311,Manhattan
13,0.9514354,Manhattan
15,0.9502392,Manhattan
17,0.9480861,Manhattan
19,0.9456938,Manhattan
21,0.944378,Manhattan
1,0.9667874,Euclidean
3,0.9669082,Euclidean
5,0.9663043,Euclidean
7,0.9648551,Euclidean
9,0.9638889,Euclidean
11,0.9636473,Euclidean
13,0.9608696,Euclidean
15,0.9595411,Euclidean
17,0.9578502,Euclidean
19,0.9561594,Euclidean
21,0.9550725,Euclidean
1,0.9702616,L3Minkowski
3,0.9719336,L3Minkowski
5,0.9727696,L3Minkowski
7,0.9719336,L3Minkowski
9,0.969545,L3Minkowski
11,0.9677535,L3Minkowski
13,0.9673952,L3Minkowski
15,0.9662009,L3Minkowski
17,0.9645288,L3Minkowski
19,0.9629762,L3Minkowski
21,0.96214,L3Minkowski
